Course,CourseTitle,CRN,CourseDates,CourseDays,CourseTimes,Room,CreditHours,Enrolled,AvailableSeats,MaxSeats,ScheduleType,InstructionalMethod,Campus,Instructor,Comments,LACCategory,CourseMaterialType,CourseMaterialCost
ECLD455-002,Content Lit for Div Learn,24310,01/09/2023 05/07/2023,M,5:00pm-8:00pm,McKee 0229,3,0,28,28,Lecture,Face to Face,Main Campus,James Gambrell,,,,
ECON203-001,SS1-Macroeconomics Principles,21220,01/09/2023 05/07/2023,M W F,10:10am-11:00am,Candelaria Hall 2220,3,0,65,65,Lecture,Face to Face,Main Campus,Christopher McMahan,,"LAB1, LC5A",,
ECON203-002,SS1-Macroeconomics Principles,20174,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Candelaria Hall 2220,3,0,65,65,Lecture,Face to Face,Main Campus,Christopher McMahan,,"LAB1, LC5A",,
ECON205-001,SS1-Microeconomic Principles,20175,01/09/2023 05/07/2023,T R,9:30am-10:45am,Candelaria Hall 1260,3,0,65,65,Lecture,Face to Face,Main Campus,Junpyo Park,,"LAB1, LC5A",,
ECON205-002,SS1-Microeconomic Principles,21981,01/09/2023 05/07/2023,M W F,9:05am-9:55am,Candelaria Hall 1260,3,0,65,65,Lecture,Face to Face,Main Campus,David Aske,,"LAB1, LC5A",,
ECON205-003,SS1-Microeconomic Principles,20176,01/09/2023 05/07/2023,T R,11:00am-12:15pm,Candelaria Hall 1260,3,0,65,65,Lecture,Face to Face,Main Campus,Junpyo Park,,"LAB1, LC5A",,
ECON301-001,Money And Banking,24344,01/09/2023 05/07/2023,M W F,1:25pm-2:15pm,Candelaria Hall 1065,3,0,35,35,Lecture,Face to Face,Main Campus,Christopher McMahan,,,,
ECON305-001,Intermediate Micro,20961,01/09/2023 05/07/2023,M W F,10:10am-11:00am,Candelaria Hall 2345,3,0,35,35,Lecture,Face to Face,Main Campus,David Aske,,,,
ECON325-001,Behavioral Economics,22214,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,Candelaria Hall 1065,3,0,35,35,Lecture,Face to Face,Main Campus,Junpyo Park,,,,
ECON362-001,Economic History of US,24102,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Candelaria Hall 0220,3,0,35,35,Lecture,Face to Face,Main Campus,David Aske,,,,
ECON475-001,Senior Seminar,22216,01/09/2023 05/07/2023,M W F,2:30pm-3:20pm,Candelaria Hall 2190,3,0,20,20,Seminar,Face to Face,Main Campus,Christopher McMahan,,,,
EDEC102-001,Intro Early Child Ed Lab,22537,01/09/2023 05/07/2023,T,9:30am-10:45am,McKee 0147,3,0,20,20,Laboratory,Mixed Face to Face,Main Campus,Amanda Rutter,"MF - This course meets on-campus and online (T is face-to-face, remaining time is asynchronous online). Support available at www.unco.edu/Canvas.",,,
EDEC102-002,Intro Early Child Ed Lab,23174,01/09/2023 05/07/2023,F,TBA,Online,3,0,0,0,Laboratory,Mixed Face to Face,Main Campus,,"MF - This course meets on-campus and online (MW is face-to-face, remaining time is asynchronous online). Support available at www.unco.edu/Canvas.",,,
EDEC104-001,Child Development in Context,24311,01/09/2023 05/07/2023,T R,11:00am-12:15pm,McKee 0146,3,0,20,20,Lecture,Face to Face,Main Campus,Susan Davidson,,,,
EDEC104-002,Child Development in Context,24312,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,McKee 0253,3,0,0,0,Lecture,Face to Face,Main Campus,Susan Davidson,,,,
EDEC220-001,Cur Dev Methods & Tech,22246,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,McKee 0253,3,0,20,20,Lecture,Face to Face,Main Campus,Susan Davidson,,,,
EDEC220-002,Cur Dev Methods & Tech,23175,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,McKee 0252,3,0,0,0,Lecture,Face to Face,Main Campus,,,,,
EDEC250-002,Divrs Early Lang and Lit,23178,01/09/2023 05/07/2023,T R,11:00am-12:15pm,McKee 0229,3,0,25,25,Lecture,Face to Face,Main Campus,Jean Kirshner,,,,
EDEC250-003,Divrs Early Lang and Lit,23179,01/09/2023 05/07/2023,T R,12:30pm-1:45pm,McKee 0229,3,0,25,25,Lecture,Face to Face,Main Campus,Jean Kirshner,,,,
EDEC262-001,ECE Prac Field Experience I,24390,01/09/2023 05/07/2023,TBA,TBA,Arranged,2,0,28,28,Practicum/Clinical,Internship/Practica,Main Campus,"Amanda Rutter, Jean Kirshner",,,,
EDEC450-001,Fam Diver & Involv in ECE,22248,01/09/2023 05/07/2023,W,1:25pm-4:25pm,McKee 0253,3,0,20,20,Lecture,Face to Face,Main Campus,Jean Kirshner,,,,
EDEC450-002,Fam Diver & Involv in ECE,24314,01/09/2023 05/07/2023,W,1:25pm-4:25pm,TBA,3,0,0,0,Lecture,Face to Face,Main Campus,,,,,
EDEC455-002,Creat Expres & Play in EC,22249,01/09/2023 05/07/2023,M,1:25pm-4:25pm,McKee 0254,3,0,20,20,Lecture,Face to Face,Main Campus,Jennifer Harding,,,,
EDEC455-003,Creat Expres & Play in EC,23181,01/09/2023 05/07/2023,M,1:25pm-4:25pm,TBA,3,0,0,0,Lecture,Face to Face,Main Campus,Jennifer Harding,,,,
EDEC462-001,ECE Prac Field Experience II,24630,01/09/2023 05/07/2023,TBA,TBA,Arranged,2,0,0,0,Practicum/Clinical,Internship/Practica,Main Campus,"Amanda Rutter, Jean Kirshner",,,,
EDEL101-001,Elem Teach as Profession,22251,01/09/2023 05/07/2023,M W,10:10am-11:00am,McKee 0229,2,0,28,28,Seminar,Face to Face,Main Campus,Jennifer Harding,,,,
EDEL220-001,Teaching with Writing,23186,01/09/2023 05/07/2023,T R,11:00am-12:15pm,McKee 0252,3,0,20,20,Lecture,Face to Face,Main Campus,Jody Lawrence,,,,
EDEL220-002,Teaching with Writing,23188,01/09/2023 05/07/2023,T R,9:30am-10:45am,McKee 0252,3,0,20,20,Lecture,Face to Face,Main Campus,Jody Lawrence,,,,
EDEL310-001,Rdg Assess Inf Tchg,23192,01/09/2023 05/07/2023,M W,10:10am-11:00am,McKee 0254,3,0,20,20,Lecture,Mixed Face to Face,Main Campus,,"Class meets MW face-to-face, and remaining time will be asynchronous online. Mixed F2F - This course meets on-campus and online. Support available at www.unco.edu/Canvas.",,,
EDEL310-003,Rdg Assess Inf Tchg,23194,01/09/2023 05/07/2023,T,2:00pm-5:00pm,Michener L0073,3,0,0,0,Lecture,Face to Face,Main Campus,,,,,
EDEL360-001,Tch Found Read Skills,23197,01/09/2023 05/07/2023,T R,3:00pm-5:00pm,McKee 0219,3,0,20,20,Lecture,Face to Face,Main Campus,,,,,
EDEL360-002,Tch Found Read Skills,23198,01/09/2023 05/07/2023,M W,3:00pm-5:00pm,McKee 0146,3,0,20,20,Lecture,Face to Face,Main Campus,,,,,
EDEL360-003,Tch Found Read Skills,23199,01/09/2023 05/07/2023,T R,3:00pm-5:00pm,McKee 0147,3,0,0,0,Lecture,Face to Face,Main Campus,,,,,
EDEL420-001,Elem Math Methods,22254,01/09/2023 05/07/2023,M W,8:35am-9:55am,McKee 0228,3,0,20,20,Lecture,Face to Face,Main Campus,Jennifer Harding,,,,
EDEL420-002,Elem Math Methods,22255,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,McKee 0228,3,0,20,20,Lecture,Face to Face,Main Campus,Hyun Jung Kang,,,,
EDEL425-002,Elem SS Methods,22256,01/09/2023 05/07/2023,T,5:30pm-8:00pm,McKee 0252,3,0,28,28,Lecture,Face to Face,Main Campus,Kim Creasy,,,,
EDEL425-004,Elem SS Methods,22257,01/09/2023 05/07/2023,T R,11:00am-12:15pm,McKee 0147,3,0,28,28,Lecture,Face to Face,Main Campus,Kim Creasy,,,,
EDF366-004,Concept Of Schooling,22267,01/09/2023 05/07/2023,T R,12:30pm-1:45pm,McKee 0146,3,0,12,12,Lecture,Face to Face,Main Campus,Dina London,,,,
EDFE444-070,Student Teaching Art,22277,01/09/2023 05/07/2023,TBA,TBA,Arranged,15-Jan,0,0,0,Student Teaching,Internship/Practica,Main Campus,"Connie Stewart, Matthew Farber",,,,
EDFE444-080,Student Teach Spanish ESL,23842,01/09/2023 05/07/2023,TBA,TBA,Arranged,15-Jan,0,0,0,Student Teaching,Internship/Practica,Main Campus,"Karla Del Carpio Ovando, Matthew Farber",,,,
EDNL321-001,Literacy in the Dig Age,22741,01/09/2023 05/07/2023,T R,12:30pm-1:45pm,McKee 0254,3,0,25,25,Lecture,Face to Face,Main Campus,Christine Kyser,,,,
EDSE201-001,Culture of Special Ed,22323,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,McKee 0230,3,0,30,30,Lecture,Face to Face,Main Campus,Laura Trapp,,,,
EDSE201-002,Culture of Special Ed,22324,01/09/2023 05/07/2023,T R,11:00am-12:15pm,McKee 0142,3,0,30,30,Lecture,Face to Face,Main Campus,Jennifer Lieber,,,,
EDSE203-003,Ind Ed Prog/Coll Process,22326,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,McKee 0139,3,0,30,30,Lecture,Face to Face,Main Campus,Tracy Gershwin,,,,
EDSE270-005,Field-Based Experience,22328,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,McKee 0338,3,0,30,30,Field Instruction,Internship/Practica,Main Campus,Katrine Gosselin,,,,
EDSE271-001,Field-Based Exp Seminar,22329,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,McKee 0338,2,0,18,18,Seminar,Face to Face,Main Campus,Katrine Gosselin,,,,
EDSE320-001,Assessment in Spec Ed,22330,01/09/2023 05/07/2023,M,5:00pm-8:00pm,McKee 0139,3,0,30,30,Lecture,Face to Face,Main Campus,Gavin Thorne,,,,
EDSE321-001,Adv Assmt Spec Ed,22332,01/09/2023 05/07/2023,T R,11:00am-12:15pm,McKee 0138,3,0,30,30,Lecture,Face to Face,Main Campus,,,,,
EDSE322-010,Methods in Spec Ed,22333,01/09/2023 05/07/2023,W,5:30pm-8:30pm,McKee 0139,3,0,30,30,Lecture,Face to Face,Main Campus,Jennifer Sedaghat,,,,
EDSE325-001,Behav Dimens Stu Excep I,22334,01/09/2023 05/07/2023,T R,9:30am-10:45am,McKee 0139,3,0,30,30,Lecture,Face to Face,Main Campus,Laura Trapp,,,,
EDSE325-002,Behav Dimens Stu Excep I,22336,01/09/2023 05/07/2023,T R,12:30pm-1:45pm,McKee 0144,3,0,30,30,Lecture,Face to Face,Main Campus,Laura Trapp,,,,
EDSE326-010,Behav Dimen Stu Excep II,22338,01/09/2023 05/07/2023,T R,9:30am-10:45am,McKee 0137,3,0,30,30,Lecture,Face to Face,Main Campus,Jason Robinson,,,,
EDSE327-001,Math Methods: Spec Needs,22339,01/09/2023 05/07/2023,T R,11:00am-12:15pm,McKee 0428,3,0,30,30,Lecture,Face to Face,Main Campus,Kimberly Mahovsky,,,,
EDSE360-001,Adap/Modif/Integ Cur Sec,22346,01/09/2023 05/07/2023,M W F,10:10am-11:00am,McKee 0141,3,0,30,30,Lecture,Face to Face,Main Campus,Todd Sundeen,,,,
EDSE360-012,Adap/Modif/Integ Cur Sec,22826,01/09/2023 05/07/2023,R,6:00pm-9:00pm,McKee 0141,3,0,0,0,Lecture,Face to Face,Main Campus,Tom Gribble,,,,
EDSE431-010,Intro Erly Child Spec Ed,22725,01/09/2023 05/07/2023,T R,11:00am-12:15pm,McKee 0137,3,0,25,25,Lecture,Face to Face,Main Campus,Hasan Zaghlawan,,,,
EDSE433-007,Except Stdt Reg Classrm,22535,01/09/2023 05/07/2023,T R,3:35pm-4:25pm,McKee 0146,2,0,0,0,Lecture,Face to Face,Main Campus,James Slaughter,,,,
EDSE442-001,Lang Ltrcy Stu Sev Delays,22342,01/09/2023 05/07/2023,T R,9:30am-10:45am,McKee 0138,3,0,30,30,Lecture,Face to Face,Main Campus,Jennifer Urbach,,,,
EDSE443-001,Support Systems in SPED,22343,01/09/2023 05/07/2023,T R,8:00am-9:15am,McKee 0139,3,0,20,20,Lecture,Face to Face,Main Campus,Katrine Gosselin,,,,
EDSE460-001,Cult Ling Div Stdt W/Dis,22345,01/09/2023 05/07/2023,R,5:00pm-8:00pm,McKee 0139,3,0,30,30,Lecture,Face to Face,Main Campus,Denise Helms,,,,
EED308-001,Learners and Learning,21613,01/09/2023 05/07/2023,T R,8:00am-9:15am,Ross Hall 0285,3,0,25,25,Lecture,Face to Face,Main Campus,Stacy Bailey,,,,
EED341-001,ELA Methods I,21111,01/09/2023 05/07/2023,T,8:00am-9:15am,Ross Hall 1160,3,0,25,25,Lecture,Mixed Face to Face,Main Campus,Simon Cropp,This course meets on-campus and online. Support available at www.unco.edu/Canvas.,,,
ELIT290-001,Diverse Childrens Literature,23205,01/09/2023 05/07/2023,T R,9:30am-10:45am,McKee 0219,3,0,25,25,Lecture,Face to Face,Main Campus,Suzette Youngs,Asynchronous Online - Support available at www.unco.edu/Canvas.,"LAA2, LAMS, LC3B, LC8",,
ELIT290-002,Diverse Childrens Literature,23206,01/09/2023 05/07/2023,T R,11:00am-12:15pm,McKee 0219,3,0,25,25,Lecture,Face to Face,Main Campus,Christine Kyser,,"LAA2, LAMS, LC3B, LC8",,
ELIT290-003,Diverse Childrens Literature,23207,01/09/2023 05/07/2023,T R,12:30pm-1:45pm,McKee 0219,3,0,25,25,Lecture,Face to Face,Main Campus,Suzette Youngs,Asynchronous Online - Support available at www.unco.edu/Canvas.,"LAA2, LAMS, LC3B, LC8",,
ELIT290-004,Diverse Childrens Literature,24403,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,McKee 0142,3,0,0,0,Lecture,Face to Face,Main Campus,Christine Kyser,,"LAA2, LAMS, LC3B, LC8",,
ELPS604-011,Understanding People,24038,01/09/2023 03/05/2023,M,5:15pm-9:15pm,McKee 0428,3,0,10,10,Lecture,Face to Face,Main Campus,Jonathan Cooney,,,,
ELPS654-001,Instr Leadership & Sprvsn,24056,03/06/2023 05/07/2023,M,5:15pm-9:15pm,McKee 0428,3,0,10,10,Lecture,Face to Face,Main Campus,Jonathan Cooney,,,,
ENG122-001,CO1-College Composition,22896,01/09/2023 05/07/2023,M W F,9:05am-9:55am,Ross Hall 1160,3,0,15,15,Lecture,Face to Face,Main Campus,Phillip Goodwin,"Students enrolled in this section must also enroll in ENG 132.101, CRN 23065.","LAW1, LC1A",,
ENG122-002,CO1-College Composition,21958,01/09/2023 05/07/2023,T R,9:30am-10:45am,Ross Hall 2295,3,0,25,25,Lecture,Face to Face,Main Campus,Luke Ganger,,"LAW1, LC1A",,
ENG122-003,CO1-College Composition,22900,01/09/2023 05/07/2023,M W F,10:10am-11:00am,Ross Hall 1160,3,0,25,25,Lecture,Face to Face,Main Campus,Karsen Gromm,,"LAW1, LC1A",,
ENG122-004,CO1-College Composition,23598,01/09/2023 05/07/2023,T R,11:00am-12:15pm,Ross Hall 2295,3,0,25,25,Lecture,Face to Face,Main Campus,Grace Baker,,"LAW1, LC1A",,
ENG122-005,CO1-College Composition,23677,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Ross Hall 2275,3,0,15,15,Lecture,Face to Face,Main Campus,David Ebel,,"LAW1, LC1A",,
ENG122-006,CO1-College Composition,21959,01/09/2023 05/07/2023,M W F,8:00am-8:50am,Ross Hall 1160,3,0,25,25,Lecture,Face to Face,Main Campus,Rebecca Rhoades,,"LAW1, LC1A",,
ENG122-007,CO1-College Composition,21610,01/09/2023 05/07/2023,M W F,2:30pm-3:20pm,Ross Hall 2295,3,0,25,25,Lecture,Face to Face,Main Campus,Phillip Goodwin,,"LAW1, LC1A",,
ENG123-004,CO2-College Research Paper,21611,01/09/2023 05/07/2023,T R,9:30am-10:45am,Ross Hall 0274,3,0,25,25,Lecture,Face to Face,Main Campus,Yavanna Brownlee,,"LAW2, LC1B",,
ENG123-005,CO2-College Research Paper,20199,01/09/2023 05/07/2023,M W F,10:10am-11:00am,Ross Hall 3275,3,0,25,25,Lecture,Face to Face,Main Campus,Kevin Bomely,,"LAW2, LC1B",,
ENG123-007,CO2-College Research Paper,20202,01/09/2023 05/07/2023,T R,11:00am-12:15pm,Ross Hall 0274,3,0,25,25,Lecture,Face to Face,Main Campus,Yavanna Brownlee,,"LAW2, LC1B",,
ENG123-009,CO2-College Research Paper,20200,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Candelaria Hall 2280,3,0,25,25,Lecture,Face to Face,Main Campus,Lauren Brentnell,,"LAW2, LC1B",,
ENG123-010,CO2-College Research Paper,20201,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Ross Hall 3275,3,0,25,25,Lecture,Face to Face,Main Campus,Kevin Bomely,,"LAW2, LC1B",,
ENG123-014,CO2-College Research Paper,20901,01/09/2023 05/07/2023,M W F,1:25pm-2:15pm,Ross Hall 2295,3,0,25,25,Lecture,Face to Face,Main Campus,Lauren Brentnell,"Students enrolled in this section must also enroll in ENG 132.001, CRN 23065.","LAW2, LC1B",,
ENG123-016,CO2-College Research Paper,22664,01/09/2023 05/07/2023,M W F,2:30pm-3:20pm,Ross Hall 1090,3,0,25,25,Lecture,Face to Face,Main Campus,Kevin Bomely,,"LAW2, LC1B",,
ENG123-101,CO2-College Research Paper,22056,01/09/2023 05/07/2023,M W F,10:10am-11:00am,Ross Hall 0285,3,0,25,25,Lecture,Face to Face,Main Campus,Roger Austin,CHE Section,"LAW2, LC1B",,
ENG132-101,College Comp Enrichment,23065,01/09/2023 05/07/2023,W,11:15am-12:05pm,Candelaria Hall 0395,1,0,15,15,Lecture,Face to Face,Main Campus,Phillip Goodwin,"Students enrolled in this section must also enroll in ENG 122.001, CRN 22896.",,,
ENG195-001,The Literary Metropolis,20205,01/09/2023 05/07/2023,M W F,1:25pm-2:15pm,Ross Hall 2275,3,0,35,35,Lecture,Face to Face,Main Campus,Sarah Cornish,,,,
ENG200-001,AH1-Intro to Creative Writing,23082,01/09/2023 05/07/2023,T R,3:30pm-4:45pm,Ross Hall 0274,3,0,25,25,Lecture,Face to Face,Main Campus,Lisa Zimmerman,,"LAA1, LC3A",,
ENG205-001,AH2-Folklore,24120,01/09/2023 05/07/2023,T R,11:00am-12:15pm,Ross Hall 0275,3,0,35,35,Lecture,Face to Face,Main Campus,Emily Golson,,"LAA2, LAIS, LC3B, LC7",,
ENG206-001,AH2-Regional Mythologies,24121,01/09/2023 05/07/2023,T R,9:30am-10:45am,Ross Hall 0275,3,0,35,35,Lecture,Face to Face,Main Campus,Emily Golson,,"LAA2, LAIS, LC3B, LC7",,
ENG218-001,Intro to Linguistics,23084,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,Ross Hall 0285,3,0,25,25,Lecture,Face to Face,Main Campus,Lahcen Ezzaher,,,,
ENG220-001,Writ Transform & Change,24123,01/09/2023 05/07/2023,M W F,3:35pm-4:25pm,Ross Hall 0285,3,0,25,25,Lecture,Face to Face,Main Campus,Phillip Goodwin,,,,
ENG225-001,CO2-Issues in Education,21222,01/09/2023 05/07/2023,T R,9:30am-10:45am,Ross Hall 1160,3,0,0,0,Lecture,Face to Face,Main Campus,Simon Cropp,,"LAW2, LC1B",,
ENG225-003,"CO2-Embodiment, Identity & Soc",22571,01/09/2023 05/07/2023,M W F,3:35pm-4:25pm,Ross Hall 2295,3,0,25,25,Lecture,Face to Face,Main Campus,Lauren Brentnell,,"LAW2, LC1B",,
ENG230-001,AH1-Intro Comics Graphic Novel,23822,01/09/2023 05/07/2023,T R,9:30am-10:45am,Ross Hall 1090,3,0,35,35,Lecture,Face to Face,Main Campus,Tracey Sedinger,Online - support available at www.unco.edu/canvas.,"LAA1, LC3A",,
ENG231-001,Analyzing Video Games,23327,01/09/2023 05/07/2023,M W F,1:25pm-2:15pm,Ross Hall 1060,3,0,25,25,Lecture,Face to Face,Main Campus,Marc Santos,,"LAA1, LC3A",,
ENG232-001,AH2-Multicult Speculative Fict,24356,01/09/2023 05/07/2023,T R,9:30am-10:45am,Ross Hall 0280,3,0,35,35,Lecture,Face to Face,Main Campus,Kristin Bovaird-Abbo,,"LAA2, LAMS, LC3B, LC8",,
ENG262-001,AH2-Arabian Nights,23087,01/09/2023 05/07/2023,T R,3:30pm-4:45pm,Ross Hall 0280,3,0,35,35,Lecture,Face to Face,Main Campus,Lahcen Ezzaher,,"LAA2, LAIS, LC3B, LC7",,
ENG295-001,Intertextuality & Adaptation,22208,01/09/2023 05/07/2023,T R,12:30pm-1:45pm,Ross Hall 0285,3,0,25,25,Lecture,Face to Face,Main Campus,Tracey Sedinger,,,,
ENG323-001,CO3-Advanced Argument,23089,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Ross Hall 1090,3,0,25,25,Lecture,Face to Face,Main Campus,Roger Austin,,LAW3,,
ENG328-001,Prof Writing & Doc Design,24332,01/09/2023 05/07/2023,M W F,2:30pm-3:20pm,Ross Hall 0274,3,0,25,25,Lecture,Face to Face,Main Campus,Marc Santos,,,,
ENG344-001,Intermed Create Writ:Poet,24124,01/09/2023 05/07/2023,T R,11:00am-12:15pm,Ross Hall 1090,3,0,25,25,Lecture,Face to Face,Main Campus,Lisa Zimmerman,,,,
ENG345-001,Lit Theory & Criticism,21064,01/09/2023 05/07/2023,T R,3:30pm-4:45pm,Ross Hall 0285,3,0,35,35,Lecture,Face to Face,Main Campus,Tracey Sedinger,,,,
ENG373-001,American Modernism,23092,01/09/2023 05/07/2023,T R,11:00am-12:15pm,Ross Hall 0280,3,0,35,35,Lecture,Face to Face,Main Campus,Joseph Chaves,,,,
ENG380-001,"Rebels, Outlaws, and Outcasts",24125,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Ross Hall 1160,3,0,35,35,Lecture,Face to Face,Main Campus,Kristin Bovaird-Abbo,,,,
ENG420-001,The Writer As Witness,20206,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,Ross Hall 3275,3,0,25,25,Lecture,Face to Face,Main Campus,Lisa Zimmerman,,,,
ENG441-001,The Romantic Self,24126,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,Ross Hall 0090,3,0,15,15,Seminar,Face to Face,Main Campus,Molly Desjardins,,,,
ENG541-001,The Romantic Self,24127,01/09/2023 05/07/2023,M W,3:35pm-4:50pm,Ross Hall 0274,3,0,15,15,Lecture,Face to Face,Main Campus,Molly Desjardins,,,,
ENG580-001,Medieval Cultural Encounters,24128,01/09/2023 05/07/2023,T R,11:00am-12:15pm,McKee 0254,3,0,15,15,Lecture,Face to Face,Main Campus,Kristin Bovaird-Abbo,,,,
ENG601-001,Adv Research Methods,22756,01/09/2023 05/07/2023,T R,12:30pm-1:45pm,Ross Hall 0275,3,0,15,15,Seminar,Face to Face,Main Campus,Molly Desjardins,,,,
ENG640-001,Hist & Theory of Rhetoric,24333,01/09/2023 05/07/2023,T,6:00pm-9:00pm,Ross Hall 2260,3,0,15,15,Lecture,Face to Face,Main Campus,Marc Santos,,,,
ENST100-002,SC2-Intro Environ Studies,24091,01/09/2023 05/07/2023,M W,3:25pm-4:50pm,Michener L0174,3,0,65,65,Lecture,Face to Face,Main Campus,Phil Klein,,"LAS1, LC6",,
ENST100-003,SC2-Intro Environ Studies,20183,01/09/2023 05/07/2023,T R,11:00am-12:15pm,Candelaria Hall 1220,3,0,65,65,Lecture,Face to Face,Main Campus,Margaret du Bray,BIO,"LAS1, LC6",,
ENST360-001,Environmental Justice,22670,01/09/2023 05/07/2023,T R,2:00pm-3:15pm,Candelaria Hall 1260,3,0,25,25,Seminar,Face to Face,Main Campus,Margaret du Bray,,,,
ENST364-001,Leadership Community Bldg,23113,01/09/2023 05/07/2023,M W F,1:25pm-2:25pm,Candelaria Hall 0395,3,0,30,30,Lecture,Face to Face,Main Campus,Chelsie Romulo,,,,
ENST491-001,Senior Capstone,23117,01/09/2023 05/07/2023,M W,3:35pm-4:25pm,Candelaria Hall 1085,2,0,10,10,Lecture,Face to Face,Main Campus,Katherine Johnson,,,,
ENST495-001,Building the World We Need,22672,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Candelaria Hall 1045,3,0,30,30,Lecture,Face to Face,Main Campus,Chelsie Romulo,,,,
ESCI150-005,SC2-Our Violent Earth,23069,01/09/2023 05/07/2023,T R,9:30am-10:45am,McKee L0150,3,0,100,100,Lecture,Face to Face,Main Campus,Timothy Grover,,"LAS1, LC6",,
ESCI200-005,SC1-Intro Env Earth Science,22184,01/09/2023 05/07/2023,T R,11:00am-12:15pm,Ross Hall 3250,4,0,24,24,Lecture,Face to Face,Main Campus,Steven Anderson,,"LAS1, LASL, LC6, LCLB",,
ESCI200-200,SC1-Intro Env Earth Science,22185,01/09/2023 05/07/2023,R,12:30pm-3:00pm,Ross Hall 3250,0,0,24,24,Laboratory,Face to Face,Main Campus,Steven Anderson,,"LAS1, LASL, LC6, LCLB",,
ESCI330-008,ESCI Statistical Analysis,22186,01/09/2023 05/07/2023,M,2:30pm-4:25pm,Ross Hall 3060,3,0,24,24,Lecture,Face to Face,Main Campus,Graham Baird,,,,
ESCI330-108,ESCI Statistical Analysis,22187,01/09/2023 05/07/2023,W F,2:30pm-3:20pm,Ross Hall 3060,0,0,24,24,Laboratory,Face to Face,Main Campus,Graham Baird,,,,
ESCI461-001,Ecoclimatology,24622,01/09/2023 05/07/2023,M W F,10:10am-11:00am,Ross Hall 2270,3,0,8,8,Lecture,Face to Face,Main Campus,"Emily Holt, Jessica Duke",,,,
ESCI490-010,Colloquium in Earth Sciences,22854,01/09/2023 05/07/2023,W,4:00pm-5:00pm,Ross Hall 3240,1,0,10,10,Seminar,Face to Face,Main Campus,Timothy Grover,,,,
ESCI599-010,Seminar in Earth Sciences,20054,01/09/2023 05/07/2023,W,4:00pm-5:00pm,Ross Hall 3240,1,0,10,10,Seminar,Face to Face,Main Campus,Timothy Grover,,,,
ET340-001,Integrate Tech Cont/Ped,21943,01/09/2023 05/07/2023,M W,11:15am-12:05pm,McKee 0146,2,0,20,20,Lecture,Face to Face,Main Campus,,,,,
ET340-002,Integrate Tech Cont/Ped,21982,01/09/2023 05/07/2023,T R,2:00pm-2:50pm,McKee 0254,2,0,20,20,Lecture,Face to Face,Main Campus,,,,,
ET340-003,Integrate Tech Cont/Ped,24319,01/09/2023 05/07/2023,T,6:00pm-7:45pm,McKee 0101W,2,0,0,0,Lecture,Face to Face,Main Campus,,,,,
ET449-001,Intgrtg Tech In Pedagogy,21992,01/09/2023 05/07/2023,R,5:30pm-7:00pm,McKee 0101W,3,0,20,20,Lecture,Face to Face,Main Campus,,,,,
ET449-002,Intgrtg Tech In Pedagogy,24320,01/09/2023 05/07/2023,R,5:30pm-7:00pm,TBA,3,0,0,0,Lecture,Face to Face,Main Campus,,,,,
ET701-001,Methods Research ID & ET II,24592,01/09/2023 03/05/2023,W,5:00pm-7:45pm,McKee 0101W,3,0,25,25,Lecture,Mixed Face to Face,Main Campus,Heng-Yu Ku,MF - This course meets on-campus on Wednesdays and also online. Support available at www.unco.edu/Canvas.,,,
ET721-001,Learning Theories & Tech,24593,03/06/2023 05/07/2023,W,5:00pm-7:45pm,McKee 0101W,3,0,25,25,Lecture,Mixed Face to Face,Main Campus,Matthew Farber,,,,
FILM120-001,AH1-Introduction to Film,21061,01/09/2023 05/07/2023,M W F,10:10am-11:00am,Ross Hall 0275,3,0,35,35,Lecture,Face to Face,Main Campus,Sarah Cornish,"Students enrolled in this section must also enroll in screening section FILM 121.970, CRN 21062.","LAA1, LC3A",,
FILM120-002,AH1-Introduction to Film,21060,01/09/2023 05/07/2023,M W F,11:15am-12:05pm,Ross Hall 0275,3,0,35,35,Lecture,Face to Face,Main Campus,Kenneth Chan,"Students enrolled in this section must also enroll in the screening section FILM 121.971, CRN 224334..","LAA1, LC3A",,
FILM210-001,History of Film I,24118,01/09/2023 05/07/2023,M W F,10:10am-11:00am,McKee 0135,3,0,35,35,Lecture,Face to Face,Main Campus,Kenneth Chan,,,,
